text,candidate,source
trào ngược dạ dày thực quản,K21.9,icd10_alias
trào ngược dạ dày thực quản ngày càng tăng,K21.9,output_curated
trầm cảm,F32.9,output_curated
trứng cá,L70.0,icd10_alias
tách thành động mạch chủ,I71.0,output_curated
tâm thần phân liệt,F20.9,output_curated
tăng bilirubin máu,E80.6,icd10_alias
tăng calci máu,E83.5,output_curated
tăng cholesterol máu,E78.0,output_curated
tăng huyết áp,I10,output_curated
tăng huyết áp phổi,I27.2,output_curated
tăng kali máu,E87.5,output_curated
tăng lipid máu,E78.5,output_curated
tăng men gan,R74.0,icd10_alias
tăng nhãn áp,H40.9,output_curated
tăng sản tuyến tiền liệt,N40.0,output_curated
tăng áp lực tĩnh mạch cửa,K76.6,output_curated
tăng áp lực động mạch phổi,I27.2,icd10_alias
tăng áp động mạch phổi mức độ trung bình,I27.2,output_curated
tắc hẹp 80% động mạch thận trái,I70.1,output_curated
tắc mạch,I74.9,output_curated
tắc mạch phổi,I26.9,output_curated
tổn thương dây thanh quản,J38.3,output_curated
tụ dịch/tụ máu dưới màng cứng mạn tính,I62.0,output_curated
tụ máu dưới màng cứng mạn tính,S06.5X9S,output_curated
tụ máu ngoài màng cứng phải cấp tính,S06.4X9A,output_curated
tụt huyết áp,I95.9,output_curated
u cơ trơn,D25.9,output_curated
u cơ trơn tử cung,D25.9,output_curated
u lympho không hodgkin tế bàob lớn lan toả,C83.3,output_curated
u nang tuyến vú,N60.0,icd10_alias
u nội tiết,C75.9,output_curated
u xơ tuyến vú,N60.2,icd10_alias
u xơ tử cung,D25.9,output_curated
u ác của tuyến tiền liệt,C61,output_curated
u ác của đại tràng,C18.9,output_curated
u ác của đầu tuỵ,C25.0,output_curated
u ác trực tràng,C20,output_curated
ung thư,C80.9,icd10_alias
ung thư biểu mô tuyến,C24.0,output_curated
ung thư biểu mô tuyến giật nhú,C73,output_curated
ung thư biểu mô tuyến đại tràng,C18.9,output_curated
ung thư biểu mô tế bào mật,C24.0,output_curated
ung thư biểu mô tế bào thận,C64.9,output_curated
ung thư biểu mô tế bào vảy,C44.9,output_curated
ung thư cổ tử cung,C53.9,icd10_alias
ung thư di căn theo đường bạch huyết ở hai phổi,C79.9,output_curated
ung thư máu,C95.9,icd10_alias
ung thư phổi,C34.9,output_curated
ung thư phổi không tế bào nhỏ,C34.9,output_curated
ung thư tuyến đại tràng,C18.9,output_curated
ung thư vú,C50.9,output_curated
ung thư vú trái,C50.9,output_curated
ung thư đường mật,C24.0,output_curated
ung thư đại tràng,C18.9,output_curated
vi-rút dại,A82.9,icd10_alias
virus dại,A82.9,icd10_alias
viêm bao tử,K29.7,icd10_alias
viêm bể thận,N12,output_curated
viêm da tiếp xúc,L25.9,icd10_alias
viêm dạ dày,K29.7,output_curated
viêm dạ dày ruột do virus,A08.4,output_curated
viêm gan,K75.9,output_curated
viêm gan cấp tính do virus b thể,B16.9,icd10_alias
viêm gan virus,B19.9,icd10_alias
viêm gan virus b,B16.9,icd10_alias
viêm gan virus c và b,B18.1,output_curated
viêm gan virus c và b,B18.2,output_curated
viêm hang vị sung huyết,K29.6,icd10_alias
viêm họng do liên cầu,J02.0,output_curated
viêm khớp dạng thấp,M06.9,icd10_alias
viêm khớp nhiễm trùng,M00.9,output_curated
viêm kết mạc,H10.9,icd10_alias
viêm loét đại tràng,K51.9,output_curated
viêm mô tế bào,L03.9,output_curated
viêm nha chu,K05.6,icd10_alias
viêm nội tâm mạc,I33.0,output_curated
viêm phế quản,J40,output_curated
viêm phổi,J18.9,output_curated
viêm phổi bệnh viện,J18.9,output_curated
viêm phổi hoại tử,J85.1,icd10_alias
viêm phổi mắc phải cộng đồng,J18.9,output_curated
viêm phổi thuỳ,J18.1,output_curated
viêm phổi thùy dưới phải,J18.1,output_curated
viêm phổi thùy dưới trái,J18.1,output_curated
viêm sung huyết hang vị dạ dày,K29.6,icd10_alias
viêm thần kinh ngoại biên,G62.9,output_curated
viêm thực quản,K20,output_curated
viêm tim,I51.4,icd10_alias
viêm tuyến mồ hôi,L73.2,output_curated
viêm tuỷ xương,M86.9,output_curated
viêm túi mật,K81.9,output_curated
viêm túi mật cấp,K81.0,output_curated
viêm túi mật cấp tính không biến chứng,K81.0,output_curated
viêm túi mật thủng cấp tính,K81.0,output_curated
viêm tụy,K85.9,output_curated
viêm tủy xương,M86.9,output_curated
viêm tủy xương mãn tính,M86.9,output_curated
viêm xương tủy,M86.9,output_curated
xuất huyết dưới màng cứng,I62.0,output_curated
xuất huyết dưới nhện,I60.9,output_curated
xuất huyết dưới nhện vùng trán phải,I60.9,output_curated
xuất huyết nội sọ,I62.9,output_curated
xơ gan do rượu,K70.3,output_curated
xơ gan mất bù,K74.6,output_curated
xơ vữa động mạch,I70.9,output_curated
xẹp phổi,J98.1,output_curated
xẹp phổi thùy dưới phải,J98.1,output_curated
áp xe,L02.9,output_curated
áp xe phổi,J85.2,icd10_alias
đa u tuỷ xương,C90.0,output_curated
đa u tủy,C90.0,icd10_alias
đa u tủy xương,C90.0,output_curated
đau thắt ngực,I20.9,output_curated
đay,L50.9,icd10_alias
đay vô,L50.1,icd10_alias
đái tháo đường,E11.9,output_curated
đái tháo đường type 2,E11.9,output_curated
đái tháo đường típ 1,E10.9,output_curated
đái tháo đường típ 2,E11.9,output_curated
"đái tháo đường, có biến chứng bệnh lý thần kinh ngoại biên",E11.4,output_curated
đại tràng giãn,K59.3,output_curated
động kinh,G40.9,output_curated
động mạch vành,I25.9,icd10_alias
đột quỵ,I63.9,output_curated
đụng dập một vùng nhu mô phổi,S27.3,output_curated
ổ loét trong bao tử,K25,icd10_alias
